id,title,requirement,responsibility
130424448,Научный сотрудник,"Умение программировать на одном из языков Mathlab, Python, C/C++. Высшее образование (МГУ, МФТИ, МГТУ им. Баумана, МАИ, МЭИ, МИФИ...","Анализ научно-технической литературы, разработка математических моделей и алгоритмов, проведение моделирования, руководство указанными работами, написание научных статей по тематике лаборатории..."
130316210,Junior Backend разработчик,"Базовые знания Python (или другого нашего backend-языка, например, Java/Go/PHP — укажите актуальный) и понимание основ ООП.","Комплексная разработка бэкенд-логики: от создания отдельных API-эндпоинтов и сервисов до интеграции с базами данных, внешними API и микросервисной..."
130030794,QA-инженер / Тестировщик программного обеспечения,"Базовые навыки работы с сетевым оборудованием и микроэлектроникой. Знание скриптовых языков типа Python. Ответственность, нацеленность на результат. Умение анализировать информацию...","Тестирование ПО и интеграций с оборудованием. Разработка тест-кейсов, чек-листов. Анализ логов. Моделирование ошибок пользователей, исследование причин сбоев."
130423192,BI разработчик (Middle),"...DataLens (опыт работы с Superset будет преимуществом). SQL на уверенном уровне. Приветствуется знание Python для решения аналитических задач (pandas, numpy).","Сбор и анализ требований заказчиков к аналитическим дашбордам. Разработка требований к данным, необходимых для наполнения витрины данных аналитического дашборда."
130347288,QA инженер,"Знание SQL, опыт работы с DB (Clickhouse, PostgreSQL), брокерами сообщений (RabbitMQ, NATS). Опыт работы с Python, Pytest, Paramiko/Netmiko, Allure.","Разрабатывать внутренние скрипты для автоматизации тестирования (Python, Shell, Perl). Проводить ручное тестирование различных сценариев внутри веб-интерфейса, CLI и API."
130429299,Аналитик данных,Владение SQL на уровне написания запросов средней сложности. Владение Python на базовом уровне. Экономическое/техническое/математическое образование. Опыт построения отчетов...,Поддержание регулярной отчетности. Ad-hoc аналитика. Тестирование бизнес- гипотез. Сбор и анализ данных из разных источников. Проверка качества данных.
130294961,Middle QA Engineer,Опыт автоматизации процесса тестирования (написание автоматических тестов). Умение читать и запускать код на python или java. Инженерный бэкграунд и опыт...,"Тестировать новые модули и функции продукта. Участвовать в построении процесса тестирования (регресс, смоук, тестирование фичей, процесс выкатки, ретроспектива релиза)."
130402757,Go Developer,Имеешь опыт работы в среде Linux. Опыт разработки на Python (есть небольшой инструментарий в виде утилит). Опыт работы с реляционными...,"Писать на Go ( стек 1.23+ ), есть многопоточка. Поддерживать старый код и функционал, возможно будет требоваться рефакторинг."
129673886,Начинающий специалист / Data Analyst / Data Scientist,"Хороший уровень Python (pandas, numpy) в части анализа и обработки данных. Понимание ООП. Хорошие знания алгоритмов, структур данных (рекурсия, деревья...","Применение продвинутых ИТ подходов на реальных проектах консалтинга. Разработка инструментов работы с данными, повышающими эффективность проектов. Внедрение новых подходов по..."
130056956,Python-разработчик (Junior),"Понимание принципов ООП и основных структур данных. - Знание базовых концепций Python, например декораторы, контекстные менеджеры, генераторы. - Опыт разработки backend-приложений...",
130297746,Разметчик данных,"Имеешь опыт разметки данных, в частности в виде пар текст-аудио. Способен подойти к рутинной работе со свежим взглядом.",Размечать данные датасетов для базового обучения и дообучения (файн-тюнинга) нейросетевых моделей синтеза и распознавания речи. В данном случае подразумевается...
130326446,Backend-разработчик,"Python3, FastApi, (Django опционально) Postgresql, SQL, Docker, Git.",Написание обработчиков с использованием библиотеки FastAPI. Проектирование БД и архитектуры сервисов. Поддержание работы существующих сервисов. Разработка бэкенд для новых сервисов...
130327340,QA-инженер,Умение писать понятные баг-репорты. Будет плюсом: - Опыт с pytest или любым Python-тестированием. - Опыт с Playwright/Selenium. -,"Сервис ""умной"" маршрутизации вызовов. - Сервис предиктивного скоринга лидов. - Сервис лидогенерации. - Функциональное и регрессионное тестирование веб-приложения. - Тестирование REST API (Swagger..."
130353984,QA инженер (Manual),"Будет плюсом: ​Базовые навыки Python. Понимание принципов работы микросервисной архитектуры. Опыт в тестировании платежных систем: банковские интеграции, транзакции, чеки и...","Проведение ручного тестирования (по тест-кейсам, чек-листам, а также ad-hoc). Составление и актуализация тест-кейсов, чек-листов и..."
130398094,Стажер-DevOps-инженер,Знание теории Web-технологий. Опыт в написании простых скриптов на Bash или Python. Знакомство с Jenkins/Ansible. Желание учиться.,Deploy: устанавливать и тестировать продукты на тестовых зонах и реальных промышленных площадках. Infrastructure: сопровождать обновление операционных систем и настраивать их...
130323771,Программист C++,Опыт работы с системами контроля версий Git. Базовое понимание принципов CI/CD. Знание python (для скриптов автоматизации). Опыт администрирования PostgreSQL...,"Разработка и поддержка ПО на С/С++ под уравнением Windows, Linux. Работа с геоинформационной системой СУБД, клиентское, серверное ПО: Проектирование..."
130373420,Продуктовый аналитик (Junior),Знает базовую статистику и теорию вероятностей. Базовое владеет Python и его библиотеками для анализа данных. Будет плюсом: знание теории А...,Выполнять ad-hoc задачи для оценки запусков новых проектов. Делать дизайн и проводить анализ несложных А/B-тестов.
130423079,QA Engineer automation,"Опыт тестирования клиент-серверных приложений. Опыт в автоматизации тестирования (pytest, selenium). Знание языка Python. Знание Linux. Базовое понимание ООП.","Участие в разработке тест-кейсов, составлении тест-планов. Участие в автоматизации тестирования (Desktop, API, WEB). Нагрузочное тестирование программных продуктов."
130445718,QA Engineer / Тестировщик,"Хорошие знания архитектуры Linux систем, инструментов отладки. Опыт написания скриптов и модулей на Python для решения задач автоматизации.","Планированием и оценкой работ по тестированию. Проведением функционального и нефункционального тестирования. Созданием и поддержанием тестовой документации: тестовые сценарии, тестовые отчеты..."
129346667,Middle backend developer,"Cтэк: Python, golang / redis / PostgreSQL / web3. Понимание технологии блокчейн и evm-compatible сетей будет плюсом.","Участвовать в развитии партнерских проектов и интеграциях (банки, платежные системы и пр.). Интеграция с evm-compatible блокчейнами. Развивать dApp shiftdefii.com..."
130134630,Тестировщик,Опыт работы с Docker. Умение писать простые скрипты на PHP/ Python. Хороший уровень разговорного английского. Опыт проведения ПНР.,"Тестированием ПО (API, GUI) от китайских поставщиков оборудования (посредством эмуляторов и на объекте). Перепиской с китайскими коллегами на предмет исправления..."
129749489,Инженер-тестировщик,"Опыт автоматизации тестирования: знание Java или Python, опыт работы с Selenium WebDriver (Selenide) и RestAssured, знание фреймворков TestNG или JUnit...",Автоматизированое и ручное функциональное тестирование API и web интерфейсов. Тестирование с помощью средств автоматизации API и web интерфейсов.
130322824,Тестировщик,"Опыт автоматизации тестирования от 3 лет. Глубокие знания Python и pytest, опыт работы с Playwright. Умение разрабатывать и поддерживать тестовые...",Разрабатывать и поддерживать фреймворк автоматизации тестирования на Python (Playwright для UI). Писать и оптимизировать автотесты для веб-приложений.
130428089,Python Developer,"Опыт работы с базами данных ClickHouse, PostgreSQL, MongoDB. Опыт работы с базой данных Redis. Опыт парсинга данных различных форматов.",О продукте: Разработка платформы для анализа киберугроз. Чем предстоит заниматься: Разработка и модификация платформы анализа киберугроз. Разработка модулей для разбора...
130380930,Frontend-разработчик (React),"Навыки в области безопасности клиентских web-приложений (XSS, CSRF). Дополнительные преимущества: опыт программирования на Python(Django/FastAPI); опыт написания кода...",Разработка пользовательского интерфейса (UI). Создание интуитивно понятных и отзывчивых интерфейсов с использованием React. Разработка компонентов. Интеграция с API.
130430191,Программист Python,"Опыт работы с Python/Fastapi от 3х лет. Опыт многопоточного и асинхронного программирования. Хорошее знание СУБД, опыт написания сложных...","Разработка и развитие сервисов для бизнеса (например, личный кабинет, сервисы самообслуживания, интеграционные компоненты, API-сервисы). Проектирование архитектуры, оптимизация производительности."
129976432,Senior Frontend разработчик (React),Опыт разработки инфраструктурных решений. Опыт разработки на Java и Python. Опыт работы в продуктовой команде. Опыт работы с платформами виртуализации.,"Разрабатывать UI платформы управления виртуализации на TypeScript, React, Patternfly, в том числе переписывать существующий функционал. Проводить code-review."
130346389,Тестировщик ( QA Engineer ),Желание развиваться и осваивать новые инструменты. Будет плюсом: Базовые знания Python. Опыт или интерес к автоматизации тестирования (Pytest / Unittest / Selenium).,"Проводить ручное тестирование (exploratory, regression, smoke). Анализировать требования и декомпозировать задачи. Составлять тест-кейсы, чек-листы и тест-планы в..."
130347289,Data Scientist (Аналитик данных),"Глубокое понимание ML-алгоритмов и продвинутые знания Python, включая основные библиотеки для машинного обучения (например, Scikit-learn, TensorFlow, PyTorch).",Разрабатывать и поддерживать скоринговые модели оценки и переоценки покупок на основе статистического анализа. Разрабатывать и поддерживать модели распознавания документов.
129812893,Специалист по тестированию / QA Engineer,Опыт тестирования требований. Опыт написания автотестов на Python (наш стек: PyTest + Playwright). Опыт работы с базами данных (у нас...,"Проведение функционального, интеграционного тестирования нескольких проектов. UI/UX тестирование. Разработка тестовой документации в системе управления тестированием Test IT."
130045254,Python-разработчик,,"Ведение переписок в Telegram. В процессе сотрудничества будут появляться и другие задачи. Никакие графические материалы (картинки, видео) делать не нужно."
130442984,"Директор по развитию (B2B, офис)","Опыт B2B-продаж промышленного оборудования, технических решений или сложных услуг. Навык работы с первыми лицами компаний и промышленными...","Исследовать рынок, находить потенциальных заказчиков и ключевых лиц, принимающих решения (ЛПР). Понимать производственные процессы клиентов, выявлять реальные потребности и предлагать..."
130372337,Менеджер сервисного отдела,"Базовые знания Excel, SQL, Python. Опыт работы в ERP. Знание складского учета и товарно-сопроводительной документации.","Контроль выполнения ремонтов. Поддержка сервисных центров и оперативное решение всех вопросов, связанных с выполнением ремонта. Контроль задолженности АСЦ за запчасти."
127795176,"DevOps-инженер (Junior/Junior+) в банк, офис","Высшее образование (IT, математическое или экономика). Рассмотрим кандидатов последних курсов ИТ-направлений. Сопровождение ПО (желательно Java/C++). Администрирование Linux/Unix...","Обеспечение стабильной работы платформы и автоматизированных систем: анализ инцидентов, определение причин, принятие решений по устранению. Приёмка, сборка и внедрение новых..."
130251811,"Junior+ Software Developer (JavaScript, SQL)","Работа с системами версионирования и совместной разработки кода (GIT, SVN,...). Опыт разработки серверного кода для Node.js, TypeScript, PHP, Python.","Оптимизация, улучшение и поддержка текущего продукта. Участие в разработке доработок для текущего продукта. Участие в разработке кастомизированных аналитических отчетов."
130332615,Начинающий аналитик данных,Способность обрабатывать значительные объемы информации в сжатые сроки. Владение Python для обработки массивов данных. Навыки построения аналитических моделей на Python.,"Постоянный поиск закономерностей, позволяющих выявлять теневые схемы. Проверка экспертных гипотез на больших объемах данных. Создание новых и тюнинг действующих аналитических..."
130383449,Разработчик Go,"Имеете опыт коммерческой разработки от 3-х лет; Комфортно чувствуете себя с Python,Go, C++,сможете исправить баг в другом...","Чем предстоит заниматься: Полный цикл разработки ПО; Разрабатывать и поддерживать бэкенд: писать фичи, покрывать тестами, писать ревью, улучшать стабильность; Участвовать..."
130299037,Senior QA Engineer (Manual),"Опыт коммерческого тестирования веб-приложений от 4–5 лет. Уверенные знания общих принципов тестирования, включая: методы покрытия состояний и переходов...","Работать со сложной архитектурой сервисов, понимать взаимодействие компонентов системы. Проводить тестирование сервисов повышенной сложности (backend, API, интеграции). Проводить ревью требований..."
